[{'timestampt': 'Jun 11 2018 21:30:58', 'pm2.5': 22}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:08:28'}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:08:34'}]
[{'pm2.5': 23, 'timestamp': 'Jun 11 2018 22:08:39'}]
[{'pm2.5': 23, 'timestamp': 'Jun 11 2018 22:08:44'}]
[{'pm2.5': 21, 'timestamp': 'Jun 11 2018 22:08:50'}]
[{'pm2.5': 22, 'timestamp': 'Jun 11 2018 22:08:55'}]
[{'pm2.5': 22, 'timestamp': 'Jun 11 2018 22:09:01'}]
[{'pm2.5': 24, 'timestamp': 'Jun 11 2018 22:09:06'}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:09:11'}]
[{'timestamp': 'Jun 12 2018 15:19:15', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:19:20', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:19:24', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:19:29', 'pm2.5': 15}]
[{'timestamp': 'Jun 12 2018 15:19:35', 'pm2.5': 15}]
[{'timestamp': 'Jun 12 2018 15:19:40', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:19:45', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:19:50', 'pm2.5': 13}]
[{'timestamp': 'Jun 12 2018 15:19:55', 'pm2.5': 12}]
[{'timestamp': 'Jun 12 2018 15:20:01', 'pm2.5': 11}]
[{'timestamp': 'Jun 12 2018 15:20:06', 'pm2.5': 12}]
[{'timestamp': 'Jun 12 2018 15:20:11', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:20:16', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:20:21', 'pm2.5': 13}]
[{'timestamp': 'Jun 12 2018 15:20:26', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:20:32', 'pm2.5': 15}]
[{'timestamp': 'Jun 12 2018 15:20:37', 'pm2.5': 13}]
[{'timestamp': 'Jun 12 2018 15:20:42', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:20:47', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:20:52', 'pm2.5': 13}]
[{'timestamp': 'Jun 12 2018 15:20:57', 'pm2.5': 13}]
[{'timestamp': 'Jun 12 2018 15:21:03', 'pm2.5': 13}]
[{'timestamp': 'Jun 12 2018 15:21:08', 'pm2.5': 12}]
[{'timestamp': 'Jun 12 2018 15:21:13', 'pm2.5': 12}]
[{'timestamp': 'Jun 12 2018 15:21:18', 'pm2.5': 13}]
[{'timestamp': 'Jun 12 2018 15:21:23', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:21:29', 'pm2.5': 15}]
[{'timestamp': 'Jun 12 2018 15:21:34', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:21:39', 'pm2.5': 15}]
[{'timestamp': 'Jun 12 2018 15:21:45', 'pm2.5': 14}]
[{'timestamp': 'Jun 12 2018 15:21:50', 'pm2.5': 13}]
[{'timestamp': 'Jun 12 2018 15:21:55', 'pm2.5': 12}]
[{'timestamp': 'Jun 12 2018 15:22:00', 'pm2.5': 11}]
[{'timestamp': 'Jun 12 2018 15:22:05', 'pm2.5': 12}]
[{'pm2.5': 6, 'timestamp': 'Jun 12 2018 17:27:03'}]
[{'pm2.5': 0, 'timestamp': 'Jun 12 2018 17:27:04'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:27:09'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:27:14'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:31:16'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:31:17'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:31:18'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:31:19'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:34:21'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:34:21'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:34:22'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:34:23'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:09'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:48:10'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:48:11'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:48:12'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:13'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:14'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:15'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:16'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:17'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:18'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:18'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:19'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:20'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:48:21'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:48:22'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:48:23'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:24'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:25'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:26'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:48:27'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:48:27'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:48:28'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:29'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:30'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:31'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:32'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:33'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:34'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:35'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:36'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:48:36'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:04'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:05'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:06'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:07'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:08'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:09'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:10'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:10'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:11'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:12'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:14'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:14'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:15'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:16'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:17'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:18'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:19'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:20'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:20'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:21'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:22'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:23'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:24'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:25'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:26'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:27'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:28'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:29'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:29'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:30'}]
[{'pm2.5': 10, 'timestamp': 'Jun 12 2018 17:49:31'}]
[{'pm2.5': 10, 'timestamp': 'Jun 12 2018 17:49:32'}]
[{'pm2.5': 10, 'timestamp': 'Jun 12 2018 17:49:33'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:34'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:35'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:36'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:36'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:37'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:38'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:39'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:39'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:40'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:41'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:42'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:49:43'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:49:44'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:49:45'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:46'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:47'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:48'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:48'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:49'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:50'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:51'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:52'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:53'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:49:54'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:49:55'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:49:56'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:49:57'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:49:58'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:49:58'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:49:59'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:50:00'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:50:01'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:50:02'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:50:03'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:50:04'}]
[{'pm2.5': 7, 'timestamp': 'Jun 12 2018 17:50:05'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:50:06'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:07'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:07'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:08'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:09'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:10'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:11'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:12'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:13'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:14'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:15'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:50:16'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:50:17'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:50:18'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:18'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:19'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:20'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:50:21'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:50:22'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:50:23'}]
[{'pm2.5': 8, 'timestamp': 'Jun 12 2018 17:50:24'}]
[{'pm2.5': 9, 'timestamp': 'Jun 12 2018 17:50:25'}]
