[{'timestamp': 'Jun 18 2018 09:17:51', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:51', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:52', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:53', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:54', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:55', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:56', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:57', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:57', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:58', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:59', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:00', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:01', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:02', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:03', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:04', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:05', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:05', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:06', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:07', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:08', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:09', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:10', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:11', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:12', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:13', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:13', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:14', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:15', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:16', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:17', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:18', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:19', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:20', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:20', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:21', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:22', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:23', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:24', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:25', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:26', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:26', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:27', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:28', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:29', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:30', 'pm2.5': 33}, {'isSent': False}]
